"resource","consumer"
"Acanthocyclus albatrossis","Anasterias antarctica"
"Acanthocyclus albatrossis","Patagonotothen cornucola"
"Adenocystis utricularis","Isopoda"
"Adenocystis utricularis","Nacella deaurata"
"Adenocystis utricularis","Nacella magellanica"
"Adenocystis utricularis","Polyplacophora"
"Adenocystis utricularis","Siphonaria lessonii"
"Adenocystis utricularis","Grimothea gregaria"
"Adenocystis utricularis","Patagonotothen tessellata"
"Adenocystis utricularis","Austrolycus depressiceps"
"Adenocystis utricularis","Eleginops maclovinus"
"Aged detritus","Ostracoda"
"Aged detritus","Amphipoda"
"Aged detritus","Exosphaeroma gigas"
"Aged detritus","Halicarcinus planatus"
"Aged detritus","Pagurus comptus"
"Aged detritus","Pareuthria fuscata"
"Aged detritus","Polychaeta"
"Aged detritus","Pseudechinus magellanicus"
"Aged detritus","Cumacea"
"Aged detritus","Grimothea gregaria"
"Aged detritus","Nemertea"
"Aged detritus","Gammaridea"
"Aged detritus","Glyceridae"
"Aged detritus","Terebellidae"
"Aged detritus","Nereididae"
"Aged detritus","Polynoidae"
"Aged detritus","Tanaidacea"
"Aged detritus","Oligochaeta"
"Aged detritus","Cirratulidae"
"Amphipoda","Anasterias antarctica"
"Amphipoda","Nacella magellanica"
"Amphipoda","Pagurus comptus"
"Amphipoda","Pseudechinus magellanicus"
"Amphipoda","Harpagifer bispinis"
"Amphipoda","Grimothea gregaria"
"Amphipoda","Patagonotothen cornucola"
"Amphipoda","Dissostichus eleginoides"
"Amphipoda","Myxine glutinosa"
"Amphipoda","Bathyraja brachyurops"
"Amphipoda","Cottoperca trigloides"
"Amphipoda","Genypterus blacodes"
"Amphipoda","Merluccius hubbsi"
"Amphipoda","Sprattus fuegensis"
"Amphipoda","Bathyraja griseocauda"
"Amphipoda","Bathyraja scaphiops"
"Amphipoda","Careproctus pallidus"
"Amphipoda","Patagonotothen longipes"
"Amphipoda","Patagonotothen sima"
"Amphipoda","Patagonotothen tessellata"
"Amphipoda","Arbacia dufresnii"
"Amphipoda","Bathyraja albomaculata"
"Amphipoda","Paranotothenia magellanica"
"Amphipoda","Patagonotothen brevicauda"
"Amphipoda","Patagonotothen ramsayi"
"Amphipoda","Galaxias maculatus"
"Amphipoda","Dipturus chilensis"
"Amphipoda","Asterina fimbriata"
"Amphipoda","Austrolycus depressiceps"
"Amphipoda","Cosmasterias lurida"
"Amphipoda","Eleginops maclovinus"
"Amphipoda","Lithodes santolla"
"Amphipoda","Odontesthes nigricans"
"Amphipoda","Schroederichthys bivius"
"Anasterias antarctica","Patagonotothen tessellata"
"Anasterias antarctica","Austrolycus depressiceps"
"Anasterias antarctica","Eleginops maclovinus"
"Arbacia dufresnii","Dipturus chilensis"
"Arbacia dufresnii","Cosmasterias lurida"
"Ascidiacea","Anasterias antarctica"
"Ascidiacea","Genypterus blacodes"
"Ascidiacea","Cosmasterias lurida"
"Ascidiacea","Lithodes santolla"
"Aulacomya atra","Anasterias antarctica"
"Aulacomya atra","Eurypodius latreillii"
"Aulacomya atra","Pseudechinus magellanicus"
"Aulacomya atra","Trophon geversianus"
"Aulacomya atra","Peltarion spinulosum"
"Aulacomya atra","Genypterus blacodes"
"Aulacomya atra","Arbacia dufresnii"
"Aulacomya atra","Paralomis granulosa"
"Aulacomya atra","Asterina fimbriata"
"Aulacomya atra","Austrolycus depressiceps"
"Aulacomya atra","Cosmasterias lurida"
"Aulacomya atra","Lithodes santolla"
"Aulacomya atra","Larus scoresbii"
"Austrolycus depressiceps","Lagenorhynchus australis"
"Ballia sp","Nacella deaurata"
"Ballia sp","Nacella magellanica"
"Ballia sp","Grimothea gregaria"
"Bathyraja albomaculata","Dissostichus eleginoides"
"Bathyraja albomaculata","Cottoperca trigloides"
"Bathyraja albomaculata","Genypterus blacodes"
"Bathyraja brachyurops","Cottoperca trigloides"
"Bathyraja brachyurops","Genypterus blacodes"
"Bathyraja scaphiops","Genypterus blacodes"
"Bathyraja scaphiops","Bathyraja griseocauda"
"Bivalvia","Anasterias antarctica"
"Bivalvia","Eurypodius latreillii"
"Bivalvia","Pagurus comptus"
"Bivalvia","Pseudechinus magellanicus"
"Bivalvia","Grimothea gregaria"
"Bivalvia","Myxine glutinosa"
"Bivalvia","Peltarion spinulosum"
"Bivalvia","Genypterus blacodes"
"Bivalvia","Arbacia dufresnii"
"Bivalvia","Paralomis granulosa"
"Bivalvia","Patagonotothen ramsayi"
"Bivalvia","Salilota australis"
"Bivalvia","Eleginops maclovinus"
"Bivalvia","Lithodes santolla"
"Bivalvia","Odontesthes nigricans"
"Bivalvia","Schroederichthys bivius"
"Bivalvia","Pygoscelis papua"
"Bivalvia","Larus dominicanus"
"Blidingia minima","Pseudechinus magellanicus"
"Bostrychia sp","Nacella deaurata"
"Bostrychia sp","Nacella magellanica"
"Bostrychia sp","Pseudechinus magellanicus"
"Bostrychia sp","Grimothea gregaria"
"Bryozoa","Polyplacophora"
"Bryozoa","Pseudechinus magellanicus"
"Bryozoa","Tonicia sp"
"Bryozoa","Grimothea gregaria"
"Bryozoa","Dissostichus eleginoides"
"Bryozoa","Genypterus blacodes"
"Bryozoa","Arbacia dufresnii"
"Bryozoa","Paralomis granulosa"
"Bryozoa","Paranotothenia magellanica"
"Bryozoa","Polynoidae"
"Bryozoa","Glabraster antarctica"
"Bryozoa","Lithodes santolla"
"Calliostoma nudum","Acanthocyclus albatrossis"
"Calliostoma nudum","Anasterias antarctica"
"Calliostoma nudum","Eurypodius latreillii"
"Calliostoma nudum","Peltarion spinulosum"
"Calliostoma nudum","Paralomis granulosa"
"Calliostoma nudum","Lithodes santolla"
"Callophyllis pinnata","Isopoda"
"Callophyllis pinnata","Nacella deaurata"
"Callophyllis pinnata","Polyplacophora"
"Callophyllis pinnata","Siphonaria lessonii"
"Callophyllis pinnata","Grimothea gregaria"
"Callophyllis pinnata","Patagonotothen tessellata"
"Callophyllis pinnata","Eleginops maclovinus"
"Campylonotus vagans","Genypterus blacodes"
"Campylonotus vagans","Patagonotothen ramsayi"
"Campylonotus vagans","Schroederichthys bivius"
"Cephalopoda","Dissostichus eleginoides"
"Cephalopoda","Bathyraja brachyurops"
"Cephalopoda","Cottoperca trigloides"
"Cephalopoda","Genypterus blacodes"
"Cephalopoda","Macruronus magellanicus"
"Cephalopoda","Merluccius hubbsi"
"Cephalopoda","Bathyraja griseocauda"
"Cephalopoda","Bathyraja scaphiops"
"Cephalopoda","Patagonotothen tessellata"
"Cephalopoda","Bathyraja albomaculata"
"Cephalopoda","Paranotothenia magellanica"
"Cephalopoda","Patagonotothen ramsayi"
"Cephalopoda","Salilota australis"
"Cephalopoda","Dipturus chilensis"
"Cephalopoda","Champsocephalus esox"
"Cephalopoda","Schroederichthys bivius"
"Cephalopoda","Cephalorhynchus commersonii"
"Cephalopoda","Phocoena spinipinnis"
"Cephalopoda","Pseudorca crassidens"
"Cephalopoda","Lissodelphis peronii"
"Cephalopoda","Grampus griseus"
"Cephalopoda","Lagenorhynchus cruciger"
"Cephalopoda","Spheniscus magellanicus"
"Cephalopoda","Pygoscelis papua"
"Cephalopoda","Thalassarche melanophris"
"Cephalopoda","Macronectes giganteus"
"Cephalopoda","Larus dominicanus"
"Cephalopoda","Larus scoresbii"
"Cephalopoda","Sterna hirundinacea"
"Cephalopoda","Phalacrocorax atriceps"
"Cephalopoda","Phalacrocorax magellanicus"
"Ceramium diaphanum","Isopoda"
"Ceramium diaphanum","Nacella deaurata"
"Ceramium diaphanum","Polyplacophora"
"Ceramium diaphanum","Pseudechinus magellanicus"
"Ceramium diaphanum","Siphonaria lessonii"
"Ceramium diaphanum","Grimothea gregaria"
"Ceramium diaphanum","Patagonotothen tessellata"
